Nb,Name,Label,Type,AtCenter,CMx (pix),CMy (pix),CMz (pix),CMx (unit),CMy (unit),CMz (unit),IntDen,Min,Max,Mean,Sigma,Mode,Mode NonZero,NbObjects,VolObjects,
0,obj1-val1,1,0,699.0,385.5665476071739,30.64424567923914,2.387728716861633,42.28361736226188,3.3606379150305354,1.1938643584308164,1.3124251E7,131.0,2916.0,739.8112175873732,505.658418779675,313.0,313.0,2027,17740,
1,obj2-val2,2,0,1077.0,82.95861449945114,91.57470428198013,3.127668599291602,9.097755845696495,10.042649654000966,1.563834299645801,1.04678183E8,147.0,3512.0,1040.269741418719,557.1831443358743,394.0,394.0,2619,100626,
2,obj3-val3,3,0,887.0,194.63908593682814,199.44288211625752,6.435950088810869,21.34532854203485,21.872142605126843,3.2179750444054345,1.1360659E8,134.0,4095.0,1111.023431846187,504.8991084917613,1136.0,1136.0,2702,102254,
3,obj4-val4,4,0,157.0,223.19633019679506,305.26821409678917,3.4232990825491987,24.477092946138,33.47760441831833,1.7116495412745993,374298.0,120.0,198.0,149.00398089171975,10.960520009623467,152.0,152.0,69,2512,
4,obj5-val5,5,0,921.0,377.3180404473949,395.82931668637775,8.383362887746346,41.37903494265498,43.409096228401545,4.191681443873173,2736196.0,210.0,1972.0,894.4740111147433,404.8938143237802,351.0,351.0,1270,3059,
5,obj6-val6,6,0,168.0,341.47322423996656,31.78985742070554,9.55935630909959,37.44807023022955,3.486272799131613,4.779678154549795,1681801.0,112.0,326.0,163.93420411346136,21.744960372382177,154.0,154.0,149,10259,
6,obj7-val7,7,0,1308.0,395.6317421767023,230.30145960326274,10.079382604596912,43.387428983098495,25.25628547463122,5.039691302298456,625855.0,208.0,2031.0,748.6303827751196,475.39853660767153,326.0,326.0,589,836,
7,obj8-val8,8,0,132.0,321.3984693940989,96.40802065675551,10.12507201266594,35.24654818997025,10.572701084681553,5.06253600633297,482554.0,110.0,224.0,145.47904733192644,14.867202610000074,145.0,145.0,97,3317,
8,obj9-val255,255,0,147.0,280.16083609966074,171.9084649618794,6.0670302411264725,30.724173730960384,18.85254776093201,3.0335151205632362,109652.0,119.0,1695.0,493.92792792792795,441.17864988794963,162.0,162.0,161,222,
